column_name,category_en,category_short_en,category_es,category_short_es
a4r,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
lib1,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
lib2c,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
eff1,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
eff2,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
it1 ,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
jc10,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
jc13,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
jc15a,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
jc16a,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
ing4,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
pn4,Support for Democracy and Democratic Institutions,Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
vic1ext,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
vic1exta,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
aoj11,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
aoj12,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democráticas ,Apoyo democrático
exc2,Corruption,Corruption,Corrupción,Corrupción
exc6,Corruption,Corruption,Corrupción,Corrupción
exc20,Corruption,Corruption,Corrupción,Corrupción
exc11,Corruption,Corruption,Corrupción,Corrupción
exc13,Corruption,Corruption,Corrupción,Corrupción
exc14,Corruption,Corruption,Corrupción,Corrupción
exc15,Corruption,Corruption,Corrupción,Corrupción
exc16,Corruption,Corruption,Corrupción,Corrupción
exc18,Corruption,Corruption,Corrupción,Corrupción
exc7,Corruption,Corruption,Corrupción,Corrupción
exc7new,Corruption,Corruption,Corrupción,Corrupción
d1,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
d2,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
d3,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
d4,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
d5,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
d6,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
e5,Political Tolerance,Tolerance,Tolerancia política,Tolerancia
pol1,Political/Electoral Engagement,Electoral Engagement,Participación política/electoral,Participación electoral
gi0,Political/Electoral Engagement,Electoral Engagement,Participación política/electoral,Participación electoral
gi0n,Political/Electoral Engagement,Electoral Engagement,Participación política/electoral,Participación electoral
clien1n,Political/Electoral Engagement,Electoral Engagement,Participación política/electoral,Participación electoral
clien1na,Political/Electoral Engagement,Electoral Engagement,Participación política/electoral,Participación electoral
q10a,Migration,Migration,Migración ,Migración 
q14,Migration,Migration,Migración ,Migración 
dst1b,Climate Change/Disaster Risk Reduction,Environment,Cambio climático/Reducción de riesgos por desastres,Ambiente
drk1,Climate Change/Disaster Risk Reduction,Environment,Cambio climático/Reducción de riesgos por desastres,Ambiente
env1c,Climate Change/Disaster Risk Reduction,Environment,Cambio climático/Reducción de riesgos por desastres,Ambiente
env2b,Climate Change/Disaster Risk Reduction,Environment,Cambio climático/Reducción de riesgos por desastres,Ambiente
vb50,Gender,Gender,Género,Género
vb51,Gender,Gender,Género,Género
vb52,Gender,Gender,Género,Género
vb58,Gender,Gender,Género,Género
w14a,Gender,Gender,Género,Género
mil10a,Foreign Relations,Foreign relations,Relaciones internacionales,Relaciones internacionales
mil10e,Foreign Relations,Foreign relations,Relaciones internacionales,Relaciones internacionales
smedia1,Social Media,Social Media,Medios sociales,Medios sociales
smedia4,Social Media,Social Media,Medios sociales,Medios sociales
smedia7,Social Media,Social Media,Medios sociales,Medios sociales
l1,Political and Religious Orientation,Beliefs,Orientación política y religiosa,Creencias
l1b,Political and Religious Orientation,Beliefs,Orientación política y religiosa,Creencias
q5a,Political and Religious Orientation,Beliefs,Orientación política y religiosa,Creencias
q5b,Political and Religious Orientation,Beliefs,Orientación política y religiosa,Creencias
q3cn,Political and Religious Orientation,Beliefs,Orientación política y religiosa,Creencias
year,Sample Identification/Geographic,Sample Id,Identificación muestral/geográfica,Id muestral
ur,Sample Identification/Geographic,Sample Id,Identificación muestral/geográfica,Id muestral
q1,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q2,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
ed,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q10new,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
ocup4a,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
ocup1a,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q11n,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r3,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r4,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r4a,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r5,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r6,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r7,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r8,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r12,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r14,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r15,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r18,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r1,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
r16,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q12,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q12bn,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
q12c,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
etid,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
leng1,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
wf1,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
cct1b,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
formal,Socio-Demographic Characteristics,Socio-Dem.,Características sociodemográficas,Sociodem.
pra8n,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
